id,companyId,number,product,product_en,multiple,name,logo,product_img
1,1,"1","干玫瑰","Dry rose",0,"Ansari Wahid Group of Companies","images/SME/Ansari Wahid Group of Companies/","images/SME/Ansari Wahid Group of Companies/1.jpg"
2,1,"2","苦杏仁","Bitter almond",0,"Ansari Wahid Group of Companies","images/SME/Ansari Wahid Group of Companies/","images/SME/Ansari Wahid Group of Companies/2.jpg"
3,1,"3","精油","Essential oil",0,"Ansari Wahid Group of Companies","images/SME/Ansari Wahid Group of Companies/","images/SME/Ansari Wahid Group of Companies/3.jpg"
4,2,"1","辣木油","Moringa oil",0,"KLARIZA SPRL","images/SME/KLARIZA SPRL/","images/SME/KLARIZA SPRL/1.jpg"
5,2,"2","辣木身体润肤膏","Moringa body balm",0,"KLARIZA SPRL","images/SME/KLARIZA SPRL/","images/SME/KLARIZA SPRL/2.jpg"
6,2,"3","辣木润唇膏","Moringa lip balm",0,"KLARIZA SPRL","images/SME/KLARIZA SPRL/","images/SME/KLARIZA SPRL/3.jpg"
7,2,"4","辣木皂","Moringa soap",0,"KLARIZA SPRL","images/SME/KLARIZA SPRL/","images/SME/KLARIZA SPRL/4.jpg"
8,3,"1","手工刺绣","Hand made embroided",0,"DIDA Clothing","images/SME/DIDA Clothing/","images/SME/DIDA Clothing/1.jpg"
9,3,"2","非洲印花服装","African print clothing",0,"DIDA Clothing","images/SME/DIDA Clothing/","images/SME/DIDA Clothing/2.jpg"
10,4,"1","手工编织围巾","Handwoven scarves",0,"Jano Handicraft Enterprise -- Shimena with Brand name","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/1.jpg"
11,4,"2","披肩","Shawls",0,"Jano Handicraft Enterprise -- Shimena with Brand name","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/2.jpg"
12,4,"3","斗篷","Ponchos",0,"Jano Handicraft Enterprise -- Shimena with Brand name","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/3.jpg"
13,4,"4","毛巾","Towels",0,"Jano Handicraft Enterprise -- Shimena with Brand name","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/4.jpg"
14,4,"5","手工编织披毯","Handwoven throws",0,"Jano Handicraft Enterprise -- Shimena with Brand name","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/5.jpg"
15,4,"6","桌旗","Table runners",0,"Jano Handicraft Enterprise -- Shimena with Brand name","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/6.jpg"
16,4,"7","手工钩织的帽子","Hand crocheted hat",0,"Jano Handicraft Enterprise -- Shimena with Brand name","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/7.jpg"
17,5,"1","身体乳","Body creams",0,"Sava Shea Company Limited","images/SME/Sava Shea Company Limited/","images/SME/Sava Shea Company Limited/1.jpg"
18,5,"2","沐浴露","Shower gels",0,"Sava Shea Company Limited","images/SME/Sava Shea Company Limited/","images/SME/Sava Shea Company Limited/2.jpg"
19,5,"3","润唇膏","Lip balm",0,"Sava Shea Company Limited","images/SME/Sava Shea Company Limited/","images/SME/Sava Shea Company Limited/3.jpg"
20,5,"4","非洲黑皂","African black soap",0,"Sava Shea Company Limited","images/SME/Sava Shea Company Limited/","images/SME/Sava Shea Company Limited/4.jpg"
21,5,"5","护发及身体乳霜","Hair and body butters",0,"Sava Shea Company Limited","images/SME/Sava Shea Company Limited/","images/SME/Sava Shea Company Limited/5.jpg"
22,5,"6","未精炼乳木果油和洗发水身体乳","Unrefined sheabutter and hair shampoos",0,"Sava Shea Company Limited","images/SME/Sava Shea Company Limited/","images/SME/Sava Shea Company Limited/6.jpg"
23,6,"1","即用型精油","Ready-to-use essential oils",0,"Green Fields Oils Factory","images/SME/Green Fields Oils Factory/","images/SME/Green Fields Oils Factory/1.jpg"
24,6,"2","冷榨油","Cold pressed oils",0,"Green Fields Oils Factory","images/SME/Green Fields Oils Factory/","images/SME/Green Fields Oils Factory/2.jpg"
25,7,"1","孕妇装与哺乳装","Maternity & Nursing clothing",0,"EVERYTHING MATERNITY KENYA","images/SME/EVERYTHING MATERNITY KENYA/","images/SME/EVERYTHING MATERNITY KENYA/1.jpg"
26,7,"2","母婴健康必备品","Baby & Mum wellness essentials",0,"EVERYTHING MATERNITY KENYA","images/SME/EVERYTHING MATERNITY KENYA/","images/SME/EVERYTHING MATERNITY KENYA/2.jpg"
27,7,"3","产后及住院用品套装","Postpartum & Hospital kits",0,"EVERYTHING MATERNITY KENYA","images/SME/EVERYTHING MATERNITY KENYA/","images/SME/EVERYTHING MATERNITY KENYA/3.jpg"
28,7,"4","礼品解决方案","Gifting solutions",0,"EVERYTHING MATERNITY KENYA","images/SME/EVERYTHING MATERNITY KENYA/","images/SME/EVERYTHING MATERNITY KENYA/4.jpg"
29,8,"1","服装与服饰","Clothing & Apparel",0,"Iko Ziwa Africa Ltd  -- Kiko Romeo","images/SME/Iko Ziwa Africa Ltd _Kiko Romeo/","images/SME/Iko Ziwa Africa Ltd _Kiko Romeo/1.jpg"
30,8,"2","纺织品&设计咨询&高端公司制服","Textiles& Design consulting& High-end company uniforms",0,"Iko Ziwa Africa Ltd  -- Kiko Romeo","images/SME/Iko Ziwa Africa Ltd _Kiko Romeo/","images/SME/Iko Ziwa Africa Ltd _Kiko Romeo/2.jpg"
31,9,"1","围巾","Scarves",0,"Union of handicraftsmen Kyrgyz Republic","images/SME/Union of handicraftsmen Kyrgyz Republic/","images/SME/Union of handicraftsmen Kyrgyz Republic/1.jpg"
32,9,"2","家居装饰品","Home decorations",0,"Union of handicraftsmen Kyrgyz Republic","images/SME/Union of handicraftsmen Kyrgyz Republic/","images/SME/Union of handicraftsmen Kyrgyz Republic/2.jpg"
33,9,"3","玩具","Toys",0,"Union of handicraftsmen Kyrgyz Republic","images/SME/Union of handicraftsmen Kyrgyz Republic/","images/SME/Union of handicraftsmen Kyrgyz Republic/3.jpg"
34,10,"1","精油（热带香桃木精油、天竺葵精油、生姜精油、 Ravensara 精油、尼傲油、桉树精油……）","Essential oils (Ravintsara, Geranium, Ginger, Ravensara, Niaouli, Eucalyptus,…) ",0,"MG SAKAY","images/SME/MG SAKAY/","images/SME/MG SAKAY/1.jpg"
35,10,"2","植物油","Vegetal oils ",0,"MG SAKAY","images/SME/MG SAKAY/","images/SME/MG SAKAY/2.jpg"
36,11,"1","陶瓷制品","Ceramic products",0,"Dedza Pottery","images/SME/Dedza Pottery/","images/SME/Dedza Pottery/1.jpg"
